character,universe,n
amaze,wildstorm_universe,1
amazing_grace,dcau,1
amazing_grace,new_earth,1
amazo,dcau,1
amazo,earth_16,1
amazo,earth_5_8,1
amazo,injustice,1
amazo,justice_league_action,1
amazo,new_earth,1
amazo,prime_earth,1
amber_joyce,earth_one,1
ambrose,fables,1
ambrose_chase,wildstorm_universe,1
ame_okumura,new_earth,1
amelinda_lopez,new_earth,1
amenadiel,lucifer_tv_series,1
ammon_ra,new_earth,1
amnon_silverstein,dakotaverse,1
amoeba_man,earth_one,1
amok,new_earth,1
amon_hakk,new_earth,1
amon_tomaz,new_earth,1
amos_aimes,prime_earth,1
amos_fortune,new_earth,1
amos_monroe,new_earth,1
amunet_black,new_earth,1
amy_allen,new_earth,1
amy_smootster,zero_girl,1
amy_winston,amethyst_shorts,1
amy_winston,new_earth,1
anaea,new_earth,1
anahid,new_earth,1
anann,new_earth,1
anapel,prime_earth,1
anastasia_force,new_earth,1
anatoli_knyazev,arkhamverse,1
anatoli_knyazev,new_earth,1
anatoli_knyazev,prime_earth,1
anaya,new_earth,1
anchoress,prime_earth,1
andar_pul,new_earth,1
andonis_bal,new_earth,1
andre_twist,new_earth,1
andrea_martinez,new_earth,1
andrea_rojas,new_earth,1
andrea_rojas,smallville,1
andrea_thomas,earth_s,1
andrea_thomas,shazam_isis_hour,1
andrej_trojan,future_state,1
andrew_bennett,new_earth,1
andrew_bennett,prime_earth,1
andrew_bryant,earth_abc,1
andrew_franklin,new_earth,1
andrew_helm,earth_one,1
andrew_mcfee,new_earth,1
andrew_nolan,dcau,1
andrew_nolan,legion_of_super_heroes_tv_series,1
andrew_nolan,post_rebirth,1
andrew_nolan,post_zero_hour,1
andrew_nolan,pre_zero_hour,1
andrew_pulaski,prime_earth,1
andrew_van_horn,new_earth,1
andrina_curry,future_state,1
andrina_curry,prime_earth,1
angel_fish,earth_twelve,1
angela_hawkins_iii,new_earth,1
angela_roth,new_earth,1
angela_spica,prime_earth,1
angela_spica,the_wild_storm,1
angela_spica,wildstorm_universe,1
angelica_smith,new_earth,1
angelika_bal,new_earth,1
angelo_bend,new_earth,1
anissa_pierce,black_lightning_tv_series,1
anissa_pierce,injustice,1
anissa_pierce,new_earth,1
anissa_pierce,prime_earth,1
anita_fite,new_earth,1
anna_fortune,new_earth,1
anna_hark,wildstorm_universe,1
annabeth_chamberlain,prime_earth,1
anne_fletcher,new_earth,1
anne_marie_flynn,arrowverse,1
annie_january,the_boys,1
anomaly,new_earth,1
anomaly,prime_earth,1
anthony_gambi,prime_earth,1
anthony_ives,new_earth,1
anthony_woodward,new_earth,1
anti_monitor,antimatter_universe,1
antimache,ame_comi,1
antinus,new_earth,1
antiope,dc_extended_universe,1
antiope,dc_super_hero_girls_tv_series,1
antiope,dcau,1
antiope,dceased,1
antiope,earth_one,1
antiope,new_earth,1
antiope,prime_earth,1
antiope,tempest_tossed,1
antiope,the_legend_of_wonder_woman,1
anton_arcane,new_earth,1
anton_arcane,swamp_thing_199_tv_series,1
anton_lamont,new_earth,1
anton_lamont,scooby_doo_team_up,1
antonia_monetti,new_earth,1
antonia_monetti,teen_titans_tv_series,1
antonio_stefanacci,pre_zero_hour,1
anubis,new_earth,1
apache_chief,super_friends,1
aphrodite,new_earth,1
aphrodite,prime_earth,1
apollo,flowers_for_the_sun,1
apollo,wildstorm_universe,1
april_marigold,earth_one,1
apros,new_earth,1
apurna_chawney,dakotaverse,1
aquaboy,tiny_titans,1
aquadus,earth_9,1
aquagirl,tiny_titans,1
aqualad,new_teen_titans_shorts,1
aqualad,teen_titans_go_tv_series,1
aqualad,teen_titans_tv_series,1
aquaman,arthur_curry,1
aquaman,crisis_on_two_earths,1
aquaman,dc_one_million,1
aquaman,earth_two,1
aquamaria,dakotaverse,1
aquan,riddle_of_the_beast,1
ar_n_o_q,new_earth,1
arak,prime_earth,1
arak_red_hand,new_earth,1
arak_wind_walker,new_earth,1
arani_desai,new_earth,1
archer_braun,new_earth,1
archibald_masters,earth_abc,1
archimedes_sin,wildstorm_universe,1
arella,teen_titans_tv_series,1
ares,earth_1,1
ares,prime_earth,1
ares,wonder_woman_2_9_movie,1
aresia,dcau,1
areto,ame_comi,1
ariadne_of_the_blue_guard,new_earth,1
ariadne_pinxit,new_earth,1
ariella_kent,new_earth,1
aries,wildstorm_universe,1
arisia_rrab,new_earth,1
aristides_demetrios,new_earth,1
aristides_demetrios,prime_earth,1
arkillo,dc_universe_online,1
arkillo,lego_batman,1
arkillo,new_earth,1
arkillo,prime_earth,1
arlette_st_george,earth_9,1
armando_guitez,just_imagine,1
armando_ramon,prime_earth,1
armando_ramone,new_earth,1
armek,new_earth,1
armen_ikarus,prime_earth,1
arni_ajar,prime_earth,1
arnold_hugo,earth_one,1
arnold_hugo,scooby_doo_team_up,1
arnold_munro,new_earth,1
arnold_porter,dakotaverse,1
arnold_pruett,new_earth,1
arnold_pruett,prime_earth,1
arnus_ii,dakotaverse,1
arous,prime_earth,1
artemis,dc_extended_universe,1
artemis,earth_1,1
artemis,flashpoint_paradox,1
artemis,injustice,1
artemis,wildstorm_universe,1
artemis,wonder_woman_2_9_movie,1
artemis_goddess_of_the_hunt,dc_extended_universe,1
artemis_goddess_of_the_hunt,new_earth,1
artemis_of_bana_mighdall,dc_legends,1
artemis_of_bana_mighdall,new_earth,1
artemis_of_bana_mighdall,prime_earth,1
artemis_of_bana_mighdall,superman_batman,1
artemiz,new_earth,1
arthur_curry,dc_animated_movie_universe,1
arthur_curry,dc_extended_universe,1
arthur_curry,dc_legends,1
arthur_curry,dc_super_friends_web_series,1
arthur_curry,dceased,1
arthur_curry,earth_149,1
arthur_curry,filmation_adventures,1
arthur_curry,future_state,1
arthur_curry,justice,1
arthur_curry,justice_league_action,1
arthur_curry,scooby_doo_team_up,1
arthur_curry,super_friends,1
arthur_curry,tidebreaker,1
arthur_curry,tiny_titans,1
arthur_curry,trapped_in_time,1
arthur_curry,where_the_light_cannot_reach,1
arthur_curry_jr,justice,1
arthur_curry_jr,new_earth,1
arthur_curry_jr,tiny_titans,1
arthur_curry_sr,the_brave_and_the_bold,1
arthur_joseph_curry,new_earth,1
arthur_joseph_curry,the_nail,1
arthur_jr,dcau,1
arthur_light,new_earth,1
arthur_light,prime_earth,1
arthur_light,superman_vs_the_elite,1
arthur_light,teen_titans_go_tv_series,1
arthur_light,teen_titans_tv_series,1
arthur_light,titans_tv_series,1
arthur_mckenzie,amalgam_universe,1
arthur_penn,gotham,1
arthur_thompson,earth_9,1
artur,earth_16,1
aruna_shende,new_earth,1
arzaz,new_earth,1
asa,dc_animated_movie_universe,1
asa,prime_earth,1
asami_koizumi,earth_16,1
ascalon,prime_earth,1
asclepia,prime_earth,1
ashley_addams,prime_earth,1
ashley_powell,new_earth,1
ashok_desai,new_earth,1
asmodel,new_earth,1
assyra,new_earth,1
astarte,prime_earth,1
asteroth,the_brave_and_the_bold,1
astounding_man,earth_one,1
astra_logue,arrowverse,1
astra_of_infanta,earth_two,1
astrild_storm_daughter,new_earth,1
atabey,prime_earth,1
atalanta_ii,prime_earth,1
ate,prime_earth,1
athena,arrowverse,1
athena,justice_league_action,1
athena_tremor,new_earth,1
athena_tremor,prime_earth,1
athleta,earth_two,1
athyns,new_earth,1
atlan,new_earth,1
atlan,prime_earth,1
atlanna,aquaman_2_6_pilot,1
atlanna,dc_animated_movie_universe,1
atlanna,dc_extended_universe,1
atlanna,new_earth,1
atlanna,prime_earth,1
atlantiades,prime_earth,1
atlas,all_star_superman,1
atlas,new_earth,1
atlas,prime_earth,1
atlas,teen_titans_tv_series,1
atlee,new_earth,1
atlee,prime_earth,1
atlee,titans_tomorrow,1
atom_blake,earth_s,1
atom_man,superman_smashes_the_klan,1
atom_master,prime_earth,1
atrocitus,injustice,1
atrocitus,lego_batman,1
atrocitus,new_earth,1
atros,dc_legends,1
atros,prime_earth,1
atsuo_uchida,prime_earth,1
auberon,new_earth,1
audrey_spears,new_earth,1
audrey_spears,titans_tomorrow,1
august_heart,prime_earth,1
august_means,imaginary_fiends,1
augustus_freeman,dakotaverse,1
augustus_freeman,earth_16,1
aurakles,new_earth,1
aurelie_de_molay,earth_abc,1
auron,new_earth,1
aurora_trigger,amalgam_universe,1
autopsy,dakotaverse,1
avery_ho,future_state,1
avery_ho,prime_earth,1
aviva_metula,prime_earth,1
aviva_weinberg,new_earth,1
avruskin,new_earth,1
axel_asher,marvel_universe,1
axel_brass,wildstorm_universe,1
axel_storm,new_earth,1
axel_walker,prime_earth,1
axis,new_earth,1
aya,green_lantern_animated_series,1
ayla_ranzz,earth_prime,1
ayla_ranzz,post_rebirth,1
ayla_ranzz,post_zero_hour,1
ayla_ranzz,pre_zero_hour,1
azar,new_earth,1
azmodus,new_earth,1
azrael,lucifer_tv_series,1
azrael,new_earth,1
azraeuz,new_earth,1
aztar,new_earth,1
azzarene,new_earth,1
b_aad,new_earth,1
b_arzz_o_oomm,earth_16,1
b_calculus,prime_earth,1
b_dg,new_earth,1
baba_yaga,fables,1
babe,atari_force,1
babe_tanaka,new_earth,1
baby_boom,new_earth,1
baby_plas,plastic_man_tv_series,1
baby_wildebeest,new_earth,1
backlash,new_earth,1
backstabber,new_earth,1
bad_betty,dakotaverse,1
badra,earth_two,1
bal_gand,new_earth,1
balbo,earth_s,1
balloon_man_ii,earth_one,1
balor,prime_earth,1
balthazar,constantine_movie,1
bane,arkhamverse,1
bane,batman_of_shanghai,1
bane,batman_unlimited,1
bane,batman_vs_tmnt,1
bane,dc_animated_movie_universe,1
bane,dc_super_friends_web_series,1
bane,dceased,1
bane,doom,1
bane,earth_16,1
bane,harley_quinn_tv_series,1
bane,injustice,1
bane,lego_batman,1
bane,new_earth,1
bane,nolanverse,1
bane,prime_earth,1
bane,the_brave_and_the_bold,1
bane,tiny_titans,1
bane_simpson,amalgam_universe,1
bar_el,all_star_superman,1
bar_torr,prime_earth,1
baran_flinders,new_earth,1
baran_flinders,teen_titans_tv_series,1
baran_flinders,tiny_titans,1
barb_ell,earth_twelve,1
barbara_gordon,dceased,1
barbara_gordon,earth_one,1
barbara_gordon,new_adventures_of_batman,1
barbara_gordon,smallville,1
barbara_gordon,the_doom_that_came_to_gotham,1
barbara_gourdon,dc_bombshells,1
barbara_kean,gotham,1
barbara_minerva,dc_animated_movie_universe,1
barbara_minerva,dc_extended_universe,1
barbara_minerva,dc_super_hero_girls,1
barbara_minerva,dc_super_hero_girls_tv_series,1
barbara_minerva,dcau,1
barbara_minerva,dceased,1
barbara_minerva,flashpoint_timeline,1
barbara_minerva,future_state,1
barbara_minerva,harley_quinn_tv_series,1
barbara_minerva,injustice,1
barbara_minerva,justice_league_action,1
barbara_minerva,lego_batman,1
barbara_minerva,lego_dc_heroes,1
barbara_minerva,new_earth,1
barbara_minerva,prime_earth,1
barbara_minerva,super_best_friends_forever,1
barbatos,dark_multiverse,1
barbatos,new_earth,1
barda_free,dc_bombshells,1
barda_free,gotham_city_garage,1
bark_bent,the_adventures_of_super_pup,1
baron_bedlam_ii,new_earth,1
baron_blitzkrieg,new_earth,1
baron_reiter,arrowverse,1
baron_von_rakenstein,earth_one,1
baron_winters,new_earth,1
barracuda,earth_8,1
barracuda,earth_one,1
barrage_ii,new_earth,1
barry_allen,arrowverse,1
barry_allen,dc_animated_movie_universe,1
barry_allen,dc_extended_universe,1
barry_allen,dc_super_friends_web_series,1
barry_allen,dc_super_hero_girls,1
barry_allen,dc_super_hero_girls_tv_series,1
barry_allen,dc_universe_online,1
barry_allen,dceased,1
barry_allen,doom,1
barry_allen,earth_149,1
barry_allen,earth_16,1
barry_allen,earth_21,1
barry_allen,earth_31,1
barry_allen,earth_32,1
barry_allen,earth_3839,1
barry_allen,earth_43,1
barry_allen,earth_51,1
barry_allen,flash_199_tv_series,1
barry_allen,flashpoint_paradox,1
barry_allen,future_state,1
barry_allen,harley_quinn_tv_series,1
barry_allen,injustice,1
barry_allen,justice,1
barry_allen,justice_league_3,1
barry_allen,justice_league_action,1
barry_allen,man_of_tomorrow,1
barry_allen,new_earth,1
barry_allen,once_and_future,1
barry_allen,out_of_time,1
barry_allen,the_batman_tv_series,1
barry_allen,the_wild_storm,1
barry_allen,trapped_in_time,1
barry_metzner,earth_one,1
bart_allen,dc_universe_online,1
bart_allen,dcau,1
bart_allen,dceased,1
bart_allen,earth_16,1
bart_allen,future_state,1
bart_allen,lego_batman,1
bart_allen,new_earth,1
bart_allen,prime_earth,1
bart_allen,smallville,1
bart_allen,titans_tomorrow,1
bart_allen,world_without_young_justice,1
bart_allen_clone,titans_tomorrow,1
bartholomew_hawk,earth_one,1
bartholomew_west,earth_22,1
basanos,new_earth,1
bashir,prime_earth,1
bashira,new_earth,1
basil_karlo,arkhamverse,1
basil_karlo,batman_1966_tv_series,1
basil_karlo,dc_bombshells,1
basil_karlo,dceased,1
basil_karlo,gotham,1
basil_karlo,new_earth,1
basil_karlo,prime_earth,1
basil_nurblin,new_earth,1
basqat,smallville,1
bast,new_earth,1
bat_mite,dcau,1
bat_mite,lego_batman,1
bat_mite,lego_dc_heroes,1
bat_mite,prime_earth,1
batiri,new_earth,1
batman,bruce_wayne,1
batman,riddle_of_the_beast,1
baud,new_earth,1
baytor,new_earth,1
bazil,new_earth,1
bear,earth_16,1
beast_with_no_name,new_earth,1
beatriz_da_costa,dcau,1
beatriz_da_costa,dceased,1
beatriz_da_costa,earth_22,1
beatriz_da_costa,justice_league_3,1
beatriz_da_costa,justice_league_pilot,1
beatriz_da_costa,new_earth,1
