character,universe,gender
emp_of_khera,wildstorm_universe,male
entropous,wildstorm_universe,male
eobard_thawne,arrowverse,male
eobard_thawne,dc_legends,male
eobard_thawne,dc_universe_online,male
eobard_thawne,dcau,male
eobard_thawne,earth_5_8,male
eobard_thawne,flashpoint_paradox,male
eobard_thawne,harley_quinn_tv_series,male
eobard_thawne,lego_batman,male
eobard_thawne,lego_dc_heroes,male
eobard_thawne,new_earth,male
eobard_thawne,the_brave_and_the_bold,male
ephraim_newhouse,prime_earth,male
ethan_avery,prime_earth,male
etrigan,dc_universe_online,male
etrigan,injustice,male
etrigan,lego_batman,male
etrigan,new_earth,male
etrigan,prime_earth,male
fahai,prime_earth,male
famine,future_state,male
fastest_killer_alive,last_52_multiverse,male
felix_harmon,prime_earth,male
first_born,prime_earth,male
flamebird,new_earth,female
flash,barry_allen,male
flash,batman_unlimited,male
flash,earth_44,male
flash,earth_1,male
flash,earth_11,female
flash,teen_titans_tv_series,male
flash,wally_west,male
flash_kid,tiny_titans,male
francis_chandler,arrowverse,male
frederick_freeman,dcau,male
frederick_freeman,earth_22,male
frederick_freeman,earth_5,male
frederick_freeman,earth_s,male
frederick_freeman,justice,male
frederick_freeman,magic_of_shazam,male
frederick_freeman,new_earth,male
frost,arrowverse,female
garth,prime_earth,male
genocide,new_earth,female
giuana,new_earth,female
godspeed_iv,arrowverse,male
godspeed_v,arrowverse,male
grace_choi,new_earth,female
grant_wilson,new_earth,male
grant_wilson,prime_earth,male
harmony_of_khera,wildstorm_universe,female
helena_kyle,birds_of_prey,female
helspont,prime_earth,male
helspont,wildc_a_t_s_tv_series,male
helspont,wildstorm_universe,male
henry_ballard,prime_earth,male
henry_hall,prime_earth,male
henry_heywood_sr,new_earth,male
herakles,new_earth,male
heraphon,new_earth,male
hightower,wildstorm_universe,male
hippolyta,tempest_tossed,female
hippolyta,warbringer,female
horace_lafeaugh,pre_zero_hour,male
human_bomb_ii,earth_1,male
hunter_zolomon,new_earth,male
idamm,prime_earth,male
immorto,pre_zero_hour,male
impulse,dc_one_million,male
iris_west,arrowverse,female
iris_west,dcau,female
iris_west_ii,earth_22,female
iris_west_ii,new_earth,female
iris_west_ii,prime_earth,female
ishmael_gregor,new_earth,male
ivana_molotova,prime_earth,female
jack_ryder,dcau,male
jack_ryder,earth_22,male
jack_ryder,lego_batman,male
jack_ryder,new_earth,male
jackie,powerless,female
jai_west,prime_earth,male
james_harper_clone,new_earth,male
jared_morillo,new_earth,male
jason_garrick,dcau,male
jason_garrick,earth_2,male
jason_garrick,earth_5_8,male
jason_garrick,future_state,male
jason_garrick,lightning_in_a_bottle,male
jason_garrick,new_earth,male
jason_garrick,smallville,male
jason_garrick,the_brave_and_the_bold,male
jason_keralis,warbringer,male
jay_west,earth_3839,male
jean_paul_ludovic_valley,new_earth,male
jean_paul_valley,lego_batman,male
jean_paul_valley,new_earth,male
jeannette,new_earth,female
jebediah_of_canaan,new_earth,male
jefferson_pierce,new_earth,male
jenni_ognats,post_zero_hour,female
jenni_ognats,prime_earth,female
jennifer_sparks,wildstorm_universe,female
jeremy_stone,wildstorm_universe,male
jess_chambers,earth_11,non_binary
jesse_chambers,created_equal,female
jesse_chambers,dc_legends,female
jesse_chambers,dceased,female
jesse_chambers,earth_5_8,female
jesse_chambers,new_earth,female
jesse_chambers,prime_earth,female
jesse_chambers,tiny_titans,female
jesse_quick,earth_11,female
jessie_quick,ame_comi,female
jodi_morinaka_slayton,wildstorm_universe,female
john_cooper_hawksmoor,wildstorm_universe,male
john_lynch,wildstorm_universe,male
jonathan_allen,earth_3,male
jonathan_chambers,dc_legends,male
jonathan_chambers,prime_earth,male
jonathan_fox,new_earth,male
jonathan_samuel_kent,prime_earth,male
jordan_kent,arrowverse,male
joseph_chamberlain,prime_earth,male
joseph_wilson,new_earth,male
kaizen_gamorra_yohn_kohl,wildstorm_universe,male
kal_kent,dc_one_million,male
kal_el,earth_one,male
kal_el,earth_prime,male
katar_hol,the_batman_tv_series,male
keith_kenyon,arrowverse,male
kendra_saunders,new_earth,female
kendra_saunders,prime_earth,female
kenesha_of_khera,wildstorm_universe,female
khalil_payne,black_lightning_tv_series,male
kid_flash,teen_titans_go_tv_series,male
kid_flash,teen_titans_tv_series,male
killspeed,prime_earth,female
kirk_depaul,new_earth,male
knockout,new_earth,female
knockout,prime_earth,female
kon_el,futures_end,male
kon_el,prime_earth,male
lady_charis,wildstorm_universe,female
lana_lang,smallville,female
last_call,wildstorm_universe,male
lennox,prime_earth,male
lex_luthor,dcau,male
lincoln_march,prime_earth,male
lion_mane,prime_earth,male
lord_beyond_the_void,prime_earth,male
maeve,warbringer,female
majestros,wildstorm_universe,male
marc_slayton,wildstorm_universe,male
mari_mccabe,dcau,female
mari_mccabe,lego_batman,female
mari_mccabe,prime_earth,female
mary_batson,dcau,female
mary_batson,earth_22,female
mary_batson,justice,female
mary_batson,magic_of_shazam,female
mary_batson,new_earth,female
mary_turner,prime_earth,female
matthew_cable,prime_earth,male
max_mercury,dceased,male
max_mercury,future_state,male
max_mercury,new_earth,male
max_mercury,titans_tomorrow,male
maxine_baker,prime_earth,female
maxwell_crandall,flashpoint_timeline,male
mei_ling,prime_earth,female
midnighter,future_state,male
midnighter,prime_earth,male
midnighter,wildstorm_universe,male
mikaal_tomas,new_earth,male
mitchell_shelley_ii,prime_earth,male
mongul,prime_earth,male
mordru,pre_zero_hour,male
morphicius,prime_earth,male
nathaniel_barnes,gotham,male
nereus,prime_earth,male
niatpac_levram,earth_s,male
nikki_faure,earth_9,female
nikolas_kamarov,wildstorm_universe,male
nix_uotan,prime_earth,male
nora_west_allen,arrowverse,female
nyx,new_earth,female
oliver_truly,prime_earth,male
olympia_atreidae,wildstorm_universe,female
orion,new_earth,male
orm_marius,prime_earth,male
paul_kirk_ii,new_earth,male
percival_edmund_chang,prime_earth,male
percival_edward_chang,gen_13_movie,male
persephone,wildstorm_universe,female
pestilence,earth_2,female
peter_cannon,new_earth,male
platinum,gods_and_monsters,female
pollux,flash_199_tv_series,male
power_boy,new_earth,male
power_boy,prime_earth,male
priscilla_kitaen,wildstorm_universe,female
quanto,pre_zero_hour,male
r_amey_holl,new_earth,female
raven,wildstorm_universe,male
raymond_terrill,new_earth,male
red_racer,earth_36,male
richard_kent_shakespeare,pre_zero_hour,male
robert_castro,prime_earth,male
roman_sionis,new_earth,male
rose_tattoo,prime_earth,female
rose_tattoo,wildstorm_universe,female
rose_wilson,dceased,female
rose_wilson,future_state,female
rose_wilson,prime_earth,female
rose_wilson,smallville,female
roy_harper,arrowverse,male
rrall,new_earth,male
ryan_kendall,new_earth,male
sala_nisaba,new_earth,female
salvador_joel_alonday,wildstorm_universe,male
sandalphon,new_earth,male
sasha_bordeaux,new_earth,female
savitar,prime_earth,male
scourge,new_earth,male
sebastian_ashe,wildstorm_universe,male
sela_allen,new_earth,female
shay_lamden,arrowverse,male
shazam,billy_batson,male
shazam,magic_of_shazam,male
shiera_sanders,new_earth,female
siobhan_mcdougal,new_earth,female
sister_eve,wildstorm_universe,female
sky_tyrant,earth_3,male
slade_wilson,arkhamverse,male
slade_wilson,arrowverse,male
slade_wilson,dceased,male
slade_wilson,futures_end,male
slade_wilson,injustice,male
slade_wilson,prime_earth,male
slade_wilson,smallville,male
slobo,new_earth,male
slyxx,wildstorm_universe,male
sofia_ramos,prime_earth,female
solis,new_earth,male
speed_freak,earth_47,female
stealth,new_earth,female
superboy,dc_animated_movie_universe,male
swamp_king,dark_multiverse,male
tag_harris,arrowverse,male
taiana_venediktov,arrowverse,female
talon_of_178,prime_earth,male
tanaka_rei,earth_d,male
tanist,dc_one_million,male
teri_magnus,justice_league_3,female
teth_adam,dcau,male
teth_adam,earth_16,male
teth_adam,harley_quinn_tv_series,male
teth_adam,justice,male
teth_adam,lego_batman,male
teth_adam,new_earth,male
teth_adam,prime_earth,male
teth_adam,return_of_black_adam,male
teth_adam,the_brave_and_the_bold,male
thaddeus_sivana,dc_extended_universe,male
theo_adam,magic_of_shazam,male
theodore_galavan,gotham,male
thomas_snow,arrowverse,male
thrax,wonder_woman_2_9_movie,male
timothy_karnes,new_earth,male
trace_wyndham,legends_of_the_dead_earth,male
trigon,teen_titans_go_tv_series,male
troll,new_earth,male
tsavo,prime_earth,male
tyrell,earth_1,male
unknown_soldier,prime_earth,male
unknown_soldier_ii,new_earth,male
uriah_boone,prime_earth,male
vandal_savage,dc_animated_movie_universe,male
vandal_savage,dcau,male
vandal_savage,earth_16,male
vandar_adg,prime_earth,male
vincent_sobel,arrowverse,male
virgil_hawkins,prime_earth,male
wallace_allen,mash_up,male
wallace_r_west,dc_animated_movie_universe,male
wallace_r_west,dc_legends,male
wallace_r_west,dceased,male
wallace_r_west,earth_52,male
wallace_r_west,lego_batman,male
wallace_r_west,once_and_future,male
wallace_r_west,prime_earth,male
wally_west,arrowverse,male
wally_west,crisis_on_two_earths,male
wally_west,dc_animated_movie_universe,male
wally_west,dc_legends,male
wally_west,dcau,male
wally_west,dceased,male
wally_west,earth_16,male
wally_west,earth_18,male
wally_west,earth_21,male
wally_west,earth_22,male
wally_west,earth_3839,male
wally_west,earth_5_8,male
wally_west,future_state,male
wally_west,injustice,male
wally_west,justice_league_heroes,male
wally_west,lego_batman,male
wally_west,super_seven,male
wally_west,the_brave_and_the_bold,male
wally_west,the_new_order,male
wally_west,tiny_titans,male
wally_west,world_without_young_justice,male
walter_stapleton,prime_earth,male
whip_whirlwind,dc_legends,male
william_hayes,new_earth,male
william_leather,wildstorm_universe,male
william_magnus,gods_and_monsters,male
william_mar_vell,amalgam_universe,male
wonder_girl,earth_124_1,female
wonder_tot,earth_124_1,female
wonder_woman,diana_prince,female
wonder_woman,earth_124_1,female
xiao_loong,prime_earth,male
xiomara_rojas,prime_earth,female
yohn_kohl,wildstorm_universe,male
zannah_of_khera,wildc_a_t_s_tv_series,female
zannah_of_khera,wildstorm_universe,female
zauriel,new_earth,male
allie_langford,dcau,female
allure_botier,new_earth,female
anansi,dcau,male
bernhard_baker,animal_man_shorts,male
bernhard_baker,new_earth,male
buzz_dixon,wildstorm_universe,male
celine_patterson,prime_earth,female
christopher_weiss,dc_extended_universe,male
clifford_steele,new_earth,male
clifford_steele_doppelganger,new_earth,male
copperhead,dcau,male
dracula,the_batman_tv_series,male
fang,teen_titans_tv_series,male
frederick_von_frankenstein,new_earth,male
gregory_arkin,smallville,male
guardian_of_the_cave,teen_titans_tv_series,male
jason_troy,impact,male
joker,batman_vs_tmnt,male
joker,the_batman_tv_series,male
judge_ryme,new_earth,male
kay_challis,doom_patrol_tv_series,female
kirk_langstrom,the_batman_tv_series,male
mig_el_gand,amalgam_universe,male
