character,universe,prop_count,page_length,gender
albert_lim,prime_earth,6,356780,male
albert_michaels,earth_16,6,356180,male
albert_michaels,new_earth,10,382104,male
albert_michaels,prime_earth,8,370675,male
albert_pratt,earth_2,11,378190,male
albert_pratt,earth_2,11,356805,male
albert_pratt,new_earth,11,392725,male
albert_rothstein,dcau,10,356964,male
albert_rothstein,dceased,9,360619,male
albert_rothstein,earth_2,4,348830,male
albert_rothstein,earth_22,10,364078,male
albert_rothstein,injustice,6,350893,male
albert_rothstein,new_earth,10,389874,male
albert_rothstein,prime_earth,8,356920,male
albertus_grimley,prime_earth,9,358771,male
albino,wildstorm_universe,8,350629,male
albrecht_krieger,earth_s,11,366761,male
albrecht_krieger,new_earth,10,380464,male
albrecht_krieger,prime_earth,7,357007,male
alcinoe,new_earth,6,356780,female
alcippe,prime_earth,11,371364,female
alcmaeon,new_earth,7,355328,male
aldar,smallville,7,355139,male
alden_quench,prime_earth,6,356451,male
aldous,prime_earth,6,354858,male
alea,wildstorm_universe,10,360293,female
alec_abrams,smallville,10,370471,male
alec_holland,dc_animated_movie_universe,10,355753,male
alec_holland,dc_legends,9,357929,male
alec_holland,dcau,10,367322,male
alec_holland,dceased,9,365543,male
alec_holland,injustice,10,367759,male
alec_holland,justice_league_action,8,360678,male
alec_holland,lego_batman,14,368585,male
alec_holland,new_earth,10,377556,male
alec_holland,prime_earth,11,401822,male
alec_holland,swamp_thing_1991_tv_series,9,362579,male
alec_holland,swamp_thing_199_tv_series,9,364132,male
alec_holland,swamp_thing_movies,8,356281,male
alec_rois,new_earth,9,380152,male
alecto,new_earth,4,352471,female
aleister_hook,new_earth,11,362496,male
aleister_hook,prime_earth,9,357812,male
alejandra_cortez,prime_earth,7,351426,female
aleka,prime_earth,12,358132,female
alera,new_earth,10,359531,female
alessandra_fermi,wildstorm_universe,10,361209,female
alethea,the_true_amazon,8,358001,female
alex,new_earth,9,363659,male
alex_fury,wildstorm_universe,9,359063,male
alex_merkel,new_earth,9,355365,female
alex_petrakis,the_wild_storm,9,359158,male
alexa,wonder_woman_2_9_movie,10,353828,female
alexa_antigone,prime_earth,8,364482,female
alexa_rivera,arrowverse,6,357374,female
alexander_allston,new_earth,9,354895,male
alexander_fairchild,wildstorm_universe,11,370234,male
alexander_luthor,amalgam_universe,9,369570,male
alexander_luthor,antimatter_universe,9,361429,male
alexander_luthor,dceased,10,363618,male
alexander_luthor,earth_13,7,351455,male
alexander_luthor,earth_3,12,384879,male
alexander_luthor,earth_3839,11,362000,male
alexander_luthor,earth_45,8,352669,male
alexander_luthor,future_state,9,365944,male
alexander_luthor,injustice,9,382213,male
alexander_luthor,new_earth,12,475491,male
alexander_luthor,prime_earth,12,466646,male
alexander_luthor,smallville,10,440525,male
alexander_luthor,super_seven,6,353393,male
alexander_luthor,the_new_order,10,358430,male
alexander_luthor,titans_tomorrow,12,374480,male
alexander_luthor_jr,earth_three,11,397854,male
alexander_lyons,team_titans,9,355414,male
alexander_mason,earth_one,6,352351,male
alexander_montez,new_earth,10,361856,male
alexander_olsen,new_earth,12,369196,male
alexander_salkind,earth_one,7,357079,male
alexander_sartorius,flashpoint_timeline,7,350091,male
alexander_sartorius,new_earth,10,366742,male
alexander_sartorius,prime_earth,9,371861,male
alexander_sartorius,the_lego_movie,6,369674,male
alexander_staunton,prime_earth,9,359330,male
alexander_trent,new_earth,12,370103,male
alexandra_allston,new_earth,9,355684,female
alexandra_fairchild,the_wild_storm,5,350612,female
alexandra_gianopoulos,flashpoint_timeline,10,352210,female
alexei,prime_earth,7,352047,male
alexei_glushko,earth_abc,8,355587,male
alexei_luthor,earth_two,11,381381,male
alexi_nikolai,earth_8,10,363372,male
alexia_santos,futures_end,9,355978,female
alexis,new_earth,6,356136,female
alfred,digital_justice,3,346397,genderless
alfred_pennyworth,earth_one,9,409016,male
alfred_pennyworth,prime_earth,9,422234,male
alfred_protocol,earth_44,6,366070,genderless
alfred_the_cat,prime_earth,8,355164,male
algon,prime_earth,6,351549,male
algorithm,prime_earth,6,358928,female
ali_ka_zoom,new_earth,11,354870,male
ali_ka_zoom,prime_earth,7,350878,male
alia,new_earth,9,359206,female
alia_mayeux_keralis,warbringer,9,372051,female
alianna_hubbard,new_earth,9,361824,female
alias_the_blur,new_earth,9,361730,female
alias_the_blur,prime_earth,9,353921,female
aliaza,new_earth,10,356736,female
alice_tetch,gotham,9,354343,female
alicia_baker,smallville,9,359625,female
alicia_collins,new_earth,9,366349,female
alicia_turner,wildstorm_universe,9,354754,female
alinta,future_state,9,360445,female
alix_harrower,new_earth,13,375688,female
alix_harrower,prime_earth,4,352607,female
alixandra_ward,earth_one,7,351655,female
alkistis,new_earth,9,357530,female
alkyone,new_earth,10,366192,female
all_yang,prime_earth,9,362303,male
allegra_garcia,arrowverse,10,373267,female
allegra_garcia,new_earth,8,354581,female
allen_adam,earth_4,9,358705,male
allen_adam,earth_four,9,381061,male
allen_barr,new_earth,8,369721,male
allie_langford,dcau,10,356393,female
allirog,kid_super_power_hour,6,353930,male
allison_sanders,smallville,9,361690,female
alloroc,new_earth,9,373970,male
allura,new_earth,5,358774,female
allura_in_ze,donnerverse,9,370698,female
allura_in_ze,earth_one,11,402068,female
allura_in_ze,superman_batman,11,369838,female
allure_botier,new_earth,8,354923,female
alonzo_malrey,new_earth,5,353685,male
alpha,earth_one,12,363197,female
alpha,earth_two,11,361313,female
alpha_ii,earth_one,8,351569,male
alpha_red,the_brave_and_the_bold,3,347939,male
alpheus,sixth_dimension,10,375670,male
alphina,prime_earth,6,348419,female
alphonse_luzano,new_earth,8,382389,male
altana,new_earth,5,351769,male
alter_ego,earth_one,10,355976,male
althea,earth_1,9,354922,female
althea,earth_two,12,378218,female
althea,new_earth,9,358450,female
althea,prime_earth,9,381416,female
althesia,new_earth,9,356597,female
alton_carver,prime_earth,12,361934,male
aluminum,prime_earth,8,352590,male
alura_in_ze,new_earth,11,378508,female
alura_in_ze,scooby_doo_team_up,10,370923,female
alura_in_ze,unbound,7,390375,female
alvin_bundy,new_earth,4,351860,male
alya,prime_earth,7,351782,female
amadan,new_earth,7,357692,male
amadonna,wonder_woman_tv_series,8,360355,female
amalak,new_earth,8,356511,male
amanda_reed,wildstorm_universe,10,368127,female
amanda_spence,new_earth,10,363352,female
amandine_de_molay,earth_abc,8,353392,female
amanikable,prime_earth,9,370922,male
amanita,new_earth,11,363767,male
amaya,new_earth,9,357212,female
amaya,prime_earth,9,378389,female
amaya_jiwe,arrowverse,7,368933,female
amaz_x,future_state,6,353759,male
amaze,wildstorm_universe,10,357033,female
amazing_grace,dcau,10,352324,female
amazing_grace,new_earth,12,372951,female
amazo,dc_legends,10,357450,male
amazo,earth_16,10,363559,male
amazo,earth_5_8,10,358074,male
amazo,flashpoint_timeline,9,349595,male
amazo,injustice,10,355325,male
amazo,justice_league_action,10,384055,male
amazo,new_earth,11,382889,male
amazo,prime_earth,11,361545,male
amber_joyce,earth_one,6,347788,female
amber_leroux,wildstorm_universe,5,351646,female
ambrose,fables,8,354988,male
ambrose_caliburn,dakotaverse,7,354111,male
ambrose_chase,wildstorm_universe,9,364597,male
ambush_bug,earth_1_98,5,356386,male
ame_okumura,new_earth,5,370049,female
amelinda_lopez,new_earth,7,353632,female
amenadiel,lucifer_tv_series,10,365703,male
amenadiel,new_earth,7,363133,male
amity_arkham,prime_earth,7,363775,female
ammon_ra,new_earth,5,357452,male
amnon_silverstein,dakotaverse,6,360586,male
amoeba,earth_s,5,350795,male
amoeba_man,earth_one,6,349607,male
amok,new_earth,10,354437,male
amon_hakk,new_earth,9,359783,male
amon_tomaz,flashpoint_timeline,8,357223,male
amon_tomaz,new_earth,9,385537,male
amorpho,quality_universe,4,350727,genderless
amos_aimes,prime_earth,11,358689,male
